platform,platform_name,account_key,content_partition,snapshot_time,snapshot_date,publish_time,date,content_title,content_type,content_url,content_id,views,exposure,likes,comments,favorites,shares,new_followers,quality_note,source_file,source_mtime
xhs,小红书,示例账号,demo,2026-08-09T12:00:00+08:00,2026-08-09,2026-08-09T10:00:00+08:00,2026-08-09,内容复盘方法（模拟）,教程,,demo-xhs-01,4871,6819,244,39,78,29,29,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-09T12:00:00+08:00
xhs,小红书,示例账号,demo,2026-08-09T12:00:00+08:00,2026-08-09,2026-08-06T10:00:00+08:00,2026-08-06,数据看板搭建（模拟）,案例,,demo-xhs-02,4308,6031,215,34,69,26,26,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-09T12:00:00+08:00
xhs,小红书,示例账号,demo,2026-08-09T12:00:00+08:00,2026-08-09,2026-08-03T10:00:00+08:00,2026-08-03,选题验证流程（模拟）,复盘,,demo-xhs-03,5531,7743,277,44,88,33,33,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-09T12:00:00+08:00
xhs,小红书,示例账号,demo,2026-08-09T12:00:00+08:00,2026-08-09,2026-07-31T10:00:00+08:00,2026-07-31,运营指标入门（模拟）,教程,,demo-xhs-04,6589,9225,329,53,105,40,40,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-08-09T12:00:00+08:00
douyin,抖音,示例账号,demo,2026-08-09T12:00:00+08:00,2026-08-09,2026-08-08T10:00:00+08:00,2026-08-08,数据看板搭建（模拟）,教程,,demo-douyin-01,2601,3641,130,21,42,16,16,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-09T12:00:00+08:00
douyin,抖音,示例账号,demo,2026-08-09T12:00:00+08:00,2026-08-09,2026-08-05T10:00:00+08:00,2026-08-05,选题验证流程（模拟）,案例,,demo-douyin-02,2120,2968,106,17,34,13,13,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-09T12:00:00+08:00
douyin,抖音,示例账号,demo,2026-08-09T12:00:00+08:00,2026-08-09,2026-08-02T10:00:00+08:00,2026-08-02,运营指标入门（模拟）,复盘,,demo-douyin-03,6618,9265,331,53,106,40,40,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-09T12:00:00+08:00
douyin,抖音,示例账号,demo,2026-08-09T12:00:00+08:00,2026-08-09,2026-07-30T10:00:00+08:00,2026-07-30,增长实验记录（模拟）,教程,,demo-douyin-04,5912,8277,296,47,95,35,35,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-08-09T12:00:00+08:00
zhihu,知乎,示例账号,demo,2026-08-09T12:00:00+08:00,2026-08-09,2026-08-07T10:00:00+08:00,2026-08-07,选题验证流程（模拟）,教程,,demo-zhihu-01,3880,5432,194,31,62,23,23,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-09T12:00:00+08:00
zhihu,知乎,示例账号,demo,2026-08-09T12:00:00+08:00,2026-08-09,2026-08-04T10:00:00+08:00,2026-08-04,运营指标入门（模拟）,案例,,demo-zhihu-02,6724,9414,336,54,108,40,40,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-09T12:00:00+08:00
zhihu,知乎,示例账号,demo,2026-08-09T12:00:00+08:00,2026-08-09,2026-08-01T10:00:00+08:00,2026-08-01,增长实验记录（模拟）,复盘,,demo-zhihu-03,6637,9292,332,53,106,40,40,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-09T12:00:00+08:00
zhihu,知乎,示例账号,demo,2026-08-09T12:00:00+08:00,2026-08-09,2026-07-29T10:00:00+08:00,2026-07-29,内容复盘方法（模拟）,教程,,demo-zhihu-04,1905,2667,95,15,30,11,11,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-08-09T12:00:00+08:00
